symbol,ffmc
HDFCBANK,12443346805896.07
RELIANCE,8430042138154.0
ICICIBANK,7252268874899.4
INFY,5627297535940.64
LT,4127165163234.72
ITC,4060832291158.4
TCS,3965972602167.24
AXISBANK,3105215993169.0
KOTAKBANK,2719460179940.66
BHARTIARTL,2515254615615.6
SBIN,2487905144229.25
HINDUNILVR,2258852397052.82
BAJFINANCE,2043283176254.32
HCLTECH,1580773689549.76
M&M,1541239581372.05
TITAN,1502655757089.0
ASIANPAINT,1493418682750.45
NTPC,1449166753726.3
MARUTI,1368681252331.36
SUNPHARMA,1337749212523.5
TATAMOTORS,1289387436156.53
ULTRACEMCO,1159250208114.4
TATASTEEL,1108272536461.5
POWERGRID,1081446310261.86
INDUSINDBK,1023734416195.85
ADANIENT,987503171043.83
BAJAJFINSV,938737752904.81
NESTLEIND,870869169827.04
ADANIPORTS,861593019602.7
TECHM,816728897617.6
HINDALCO,812144051412.2
JSWSTEEL,803913645874.91
COALINDIA,796021129813.61
GRASIM,784107158274.44
ONGC,782707231359.7
HDFCLIFE,722621630976.0
BAJAJ-AUTO,710330492376.04
DRREDDY,682379544203.28
TRENT,659840183659.92
SBILIFE,655330085374.86
CIPLA,632435915897.31
WIPRO,628755120468.11
BEL,606576411898.66
DMART,604923086845.47
BRITANNIA,581765221001.92
SHRIRAMFIN,576644039276.5
TATACONSUM,575053566291.75
LTIM,561851708218.94
APOLLOHOSP,559297872338.31
ZOMATO,555791262962.05
EICHERMOT,555764265000.0
ADANIGREEN,552684771898.98
HAL,517203834000.0
VBL,514489130496.0
HEROMOTOCO,505414666360.5
CHOLAFIN,502155659308.8
DIVISLAB,472236747590.4
TVSMOTOR,469775640065.48
TATAPOWER,468462340306.58
IOC,454717997170.98
DLF,435902977839.6
BPCL,427603100897.28
BANKBARODA,417390984191.45
NAUKRI,404454759120.0
PIDILITIND,402817528080.0
GODREJCP,393429885190.51
GAIL,393046306459.25
SHREECEM,385075192660.69
AMBUJACEM,383507519529.06
ICICIGI,371091756282.0
INDIGO,360546860358.5
SRF,354245747789.33
ADANIENSOL,350041603925.4
SIEMENS,348107549262.5
BAJAJHLDNG,344891909879.4
HAVELLS,332994294820.8
COLPAL,318748940010.52
DABUR,316157079279.2
MCDOWELL-N,314215568496.0
UPL,307024796436.44
VEDL,305703041095.36
CANBK,301045844668.14
ATGL,287284141305.64
MARICO,276342758908.8
PIIND,273396048636.0
PNB,270837949680.13
JINDALSTEL,265765592087.6
ABB,255611828489.06
IRCTC,237728000000.0
MOTHERSON,233379951845.04
TATAMTRDVR,230285706511.52
SBICARD,229046744691.51
ICICIPRULI,202375944246.29
LICI,201008426937.78
TORNTPHARM,191898564480.0
BOSCHLTD,186202197412.0
PGHH,163989852931.52
ZYDUSLIFE,163597493965.88
BERGEPAINT,163385490597.12
MUTHOOTFIN,161582445464.05
AWL,57565364772.66
